id_venda,data_venda,id_cliente,id_produto,id_vendedor,quantidade,preco_unitario,desconto_pct,valor_total,custo_total,lucro_total,margem_lucro_pct,canal_venda
10044,2025-05-30,139,1001,8,7,4500.0,0.0,31500.0,21700.0,9800.0,31.11,Venda Direta / B2B
10045,2024-11-03,114,1016,1,4,280.0,0.15,952.0,600.0,352.0,36.97,Venda Direta / B2B
10046,2023-12-05,113,1010,8,1,420.0,0.15,357.0,240.0,117.0,32.77,Website
10047,2025-04-17,80,1006,1,9,650.0,0.0,5850.0,3510.0,2340.0,40.0,Venda Direta / B2B
10048,2024-03-18,119,1004,2,3,220.0,0.1,594.0,330.0,264.0,44.44,Website
10049,2025-07-27,131,1010,5,7,420.0,0.1,2646.0,1680.0,966.0,36.51,Venda Direta / B2B
10050,2024-04-06,38,1018,7,4,95.0,0.15,323.0,180.0,143.0,44.27,Website
10051,2025-03-18,18,1005,5,2,850.0,0.15,1445.0,1040.0,405.0,28.03,E-commerce
10052,2024-04-28,73,1001,5,3,4500.0,0.0,13500.0,9300.0,4200.0,31.11,E-commerce
10053,2024-09-16,89,1016,6,9,280.0,0.1,2268.0,1350.0,918.0,40.48,Website
10054,2024-09-22,49,1011,4,3,12000.0,0.0,36000.0,12000.0,24000.0,66.67,E-commerce
10055,2025-05-24,12,1014,6,3,280.0,0.1,756.0,270.0,486.0,64.29,E-commerce
10056,2024-08-03,127,1005,1,1,850.0,0.0,850.0,520.0,330.0,38.82,E-commerce
10057,2025-06-06,26,1015,8,1,32.0,0.1,28.8,18.0,10.8,37.5,Website
10058,2025-06-04,20,1005,8,13,850.0,0.05,10497.5,6760.0,3737.5,35.6,Venda Direta / B2B
10059,2025-01-07,21,1013,6,14,300.0,0.15,3570.0,1120.0,2450.0,68.63,Website
10060,2024-07-30,125,1011,1,10,12000.0,0.0,120000.0,40000.0,80000.0,66.67,Venda Direta / B2B
10061,2025-01-12,59,1010,2,7,420.0,0.0,2940.0,1680.0,1260.0,42.86,Venda Direta / B2B
10062,2024-09-14,8,1010,1,2,420.0,0.05,798.0,480.0,318.0,39.85,Website
10063,2024-07-13,38,1014,4,9,280.0,0.15,2142.0,810.0,1332.0,62.18,Venda Direta / B2B
10064,2025-02-10,44,1006,3,1,650.0,0.15,552.5,390.0,162.5,29.41,E-commerce
10065,2025-02-11,150,1016,3,1,280.0,0.05,266.0,150.0,116.0,43.61,E-commerce
10066,2024-09-25,120,1001,5,11,4500.0,0.0,49500.0,34100.0,15400.0,31.11,Website
10067,2023-09-11,77,1012,7,12,150.0,0.1,1620.0,480.0,1140.0,70.37,Venda Direta / B2B
10068,2025-05-16,99,1007,8,2,1200.0,0.1,2160.0,1500.0,660.0,30.56,Venda Direta / B2B
10069,2024-12-07,76,1010,1,14,420.0,0.1,5292.0,3360.0,1932.0,36.51,Website
10070,2024-05-04,128,1002,5,13,2200.0,0.15,24310.0,18850.0,5460.0,22.46,Venda Direta / B2B
10071,2025-04-18,49,1008,5,3,2800.0,0.0,8400.0,5400.0,3000.0,35.71,Website
10072,2025-06-30,80,1002,8,1,2200.0,0.05,2090.0,1450.0,640.0,30.62,Website
10073,2025-03-10,76,1003,6,12,350.0,0.0,4200.0,2160.0,2040.0,48.57,Venda Direta / B2B
10074,2024-02-23,94,1018,5,14,95.0,0.05,1263.5,630.0,633.5,50.14,Venda Direta / B2B
10075,2025-07-09,76,1016,6,13,280.0,0.1,3276.0,1950.0,1326.0,40.48,Venda Direta / B2B
10076,2025-09-02,58,1005,7,14,850.0,0.05,11305.0,7280.0,4025.0,35.6,Website
10077,2023-10-08,4,1013,5,9,300.0,0.1,2430.0,720.0,1710.0,70.37,Venda Direta / B2B
10078,2024-07-21,150,1009,7,3,550.0,0.0,1650.0,960.0,690.0,41.82,E-commerce
10079,2025-02-06,7,1016,6,15,280.0,0.0,4200.0,2250.0,1950.0,46.43,Website
10080,2025-01-22,78,1015,7,2,32.0,0.0,64.0,36.0,28.0,43.75,Venda Direta / B2B
10081,2025-08-11,127,1010,2,1,420.0,0.15,357.0,240.0,117.0,32.77,Website
10082,2023-12-11,95,1015,7,10,32.0,0.0,320.0,180.0,140.0,43.75,Website
10083,2025-06-15,126,1004,7,5,220.0,0.05,1045.0,550.0,495.0,47.37,Venda Direta / B2B
10084,2024-03-11,61,1015,6,2,32.0,0.05,60.8,36.0,24.8,40.79,Website
10085,2024-11-20,16,1012,7,5,150.0,0.0,750.0,200.0,550.0,73.33,Venda Direta / B2B
10086,2025-08-15,24,1015,4,3,32.0,0.0,96.0,54.0,42.0,43.75,Website
10087,2025-04-09,33,1008,4,1,2800.0,0.15,2380.0,1800.0,580.0,24.37,Website
10088,2024-03-10,85,1008,3,13,2800.0,0.0,36400.0,23400.0,13000.0,35.71,Website
10089,2024-05-07,34,1005,5,13,850.0,0.0,11050.0,6760.0,4290.0,38.82,Venda Direta / B2B
10090,2025-01-29,34,1001,1,6,4500.0,0.15,22950.0,18600.0,4350.0,18.95,Venda Direta / B2B
10091,2024-06-15,68,1006,1,1,650.0,0.15,552.5,390.0,162.5,29.41,E-commerce
10092,2023-11-12,122,1003,8,13,350.0,0.15,3867.5,2340.0,1527.5,39.5,Venda Direta / B2B
10093,2024-12-20,129,1015,4,3,32.0,0.15,81.6,54.0,27.6,33.82,Website
10094,2024-05-28,16,1001,8,14,4500.0,0.1,56700.0,43400.0,13300.0,23.46,Venda Direta / B2B
10095,2025-02-13,114,1016,2,15,280.0,0.05,3990.0,2250.0,1740.0,43.61,Venda Direta / B2B
10096,2024-12-29,33,1003,5,3,350.0,0.1,945.0,540.0,405.0,42.86,E-commerce
10097,2025-11-05,76,1017,8,9,45.0,0.1,364.5,135.0,229.5,62.96,Website
10098,2023-10-22,142,1004,4,2,220.0,0.0,440.0,220.0,220.0,50.0,E-commerce
10099,2024-08-24,103,1015,7,12,32.0,0.05,364.8,216.0,148.8,40.79,Venda Direta / B2B
10100,2024-09-02,96,1009,3,11,550.0,0.0,6050.0,3520.0,2530.0,41.82,Venda Direta / B2B
10101,2023-10-10,24,1003,7,1,350.0,0.0,350.0,180.0,170.0,48.57,E-commerce
10102,2024-11-28,144,1018,6,11,95.0,0.1,940.5,495.0,445.5,47.37,Venda Direta / B2B
10103,2024-07-09,14,1014,5,10,280.0,0.05,2660.0,900.0,1760.0,66.17,Venda Direta / B2B
10104,2023-10-28,55,1017,3,11,45.0,0.0,495.0,165.0,330.0,66.67,Venda Direta / B2B
10105,2025-05-18,143,1012,6,2,150.0,0.15,255.0,80.0,175.0,68.63,Venda Direta / B2B
10106,2024-03-20,144,1014,1,10,280.0,0.05,2660.0,900.0,1760.0,66.17,Website
10107,2023-06-09,80,1009,6,6,550.0,0.0,3300.0,1920.0,1380.0,41.82,Venda Direta / B2B
10108,2025-06-03,18,1013,3,3,300.0,0.0,900.0,240.0,660.0,73.33,Website
10109,2025-03-18,97,1007,7,2,1200.0,0.0,2400.0,1500.0,900.0,37.5,E-commerce
10110,2024-07-22,146,1011,2,15,12000.0,0.0,180000.0,60000.0,120000.0,66.67,Venda Direta / B2B
10111,2024-01-06,21,1002,5,8,2200.0,0.1,15840.0,11600.0,4240.0,26.77,Website
10112,2024-10-13,107,1015,5,4,32.0,0.0,128.0,72.0,56.0,43.75,Website
10113,2024-07-02,73,1004,8,3,220.0,0.0,660.0,330.0,330.0,50.0,E-commerce
10114,2024-03-14,2,1002,4,5,2200.0,0.0,11000.0,7250.0,3750.0,34.09,Venda Direta / B2B
10115,2025-03-28,84,1010,2,1,420.0,0.1,378.0,240.0,138.0,36.51,Venda Direta / B2B
10116,2024-01-27,137,1013,4,9,300.0,0.05,2565.0,720.0,1845.0,71.93,Website
10117,2023-09-08,112,1002,1,2,2200.0,0.05,4180.0,2900.0,1280.0,30.62,Website
10118,2024-12-10,107,1013,5,2,300.0,0.0,600.0,160.0,440.0,73.33,Venda Direta / B2B
10119,2025-09-06,118,1006,6,2,650.0,0.0,1300.0,780.0,520.0,40.0,Venda Direta / B2B
10120,2024-04-05,135,1013,2,7,300.0,0.05,1995.0,560.0,1435.0,71.93,Venda Direta / B2B
10121,2024-03-15,20,1006,2,9,650.0,0.0,5850.0,3510.0,2340.0,40.0,Website
10122,2025-07-02,90,1012,3,4,150.0,0.0,600.0,160.0,440.0,73.33,Venda Direta / B2B
10123,2024-04-17,40,1006,2,3,650.0,0.1,1755.0,1170.0,585.0,33.33,Website
10124,2024-09-28,145,1015,6,14,32.0,0.05,425.6,252.0,173.6,40.79,Website
10125,2023-12-30,121,1003,8,3,350.0,0.05,997.5,540.0,457.5,45.86,E-commerce
10126,2024-12-19,130,1012,2,5,150.0,0.1,675.0,200.0,475.0,70.37,Venda Direta / B2B
10127,2023-07-01,74,1012,2,3,150.0,0.15,382.5,120.0,262.5,68.63,Website
10128,2024-12-21,119,1013,1,2,300.0,0.05,570.0,160.0,410.0,71.93,Website
10129,2024-12-27,39,1017,1,8,45.0,0.05,342.0,120.0,222.0,64.91,Venda Direta / B2B
10130,2025-10-04,130,1003,3,1,350.0,0.1,315.0,180.0,135.0,42.86,Venda Direta / B2B
10131,2025-10-24,134,1017,3,2,45.0,0.05,85.5,30.0,55.5,64.91,E-commerce
10132,2024-08-04,14,1011,6,2,12000.0,0.0,24000.0,8000.0,16000.0,66.67,Venda Direta / B2B
10133,2024-11-28,73,1013,5,3,300.0,0.05,855.0,240.0,615.0,71.93,Website
10134,2023-09-24,90,1005,5,11,850.0,0.1,8415.0,5720.0,2695.0,32.03,Website
10135,2023-12-02,80,1003,7,11,350.0,0.0,3850.0,1980.0,1870.0,48.57,Venda Direta / B2B
10136,2025-02-03,24,1017,7,3,45.0,0.0,135.0,45.0,90.0,66.67,E-commerce
10137,2024-07-16,55,1006,6,13,650.0,0.0,8450.0,5070.0,3380.0,40.0,Venda Direta / B2B
10138,2024-03-20,40,1005,2,5,850.0,0.15,3612.5,2600.0,1012.5,28.03,Venda Direta / B2B
10139,2025-03-31,10,1017,6,15,45.0,0.0,675.0,225.0,450.0,66.67,Website
10140,2024-12-23,42,1005,3,3,850.0,0.1,2295.0,1560.0,735.0,32.03,Website
10141,2023-07-15,61,1012,8,10,150.0,0.1,1350.0,400.0,950.0,70.37,Venda Direta / B2B
10142,2024-03-28,80,1008,8,15,2800.0,0.05,39900.0,27000.0,12900.0,32.33,Venda Direta / B2B
10143,2025-02-08,119,1015,5,2,32.0,0.0,64.0,36.0,28.0,43.75,E-commerce
10144,2025-04-28,65,1005,1,11,850.0,0.05,8882.5,5720.0,3162.5,35.6,Venda Direta / B2B
10145,2024-11-26,133,1004,2,5,220.0,0.0,1100.0,550.0,550.0,50.0,Venda Direta / B2B
10146,2024-05-03,38,1017,7,2,45.0,0.1,81.0,30.0,51.0,62.96,Venda Direta / B2B
10147,2025-06-14,107,1001,1,7,4500.0,0.05,29925.0,21700.0,8225.0,27.49,Website
10148,2024-03-29,96,1003,4,1,350.0,0.0,350.0,180.0,170.0,48.57,Venda Direta / B2B
10149,2025-05-12,38,1011,3,1,12000.0,0.1,10800.0,4000.0,6800.0,62.96,Venda Direta / B2B
10150,2025-02-18,121,1005,8,3,850.0,0.0,2550.0,1560.0,990.0,38.82,Website
10151,2023-05-09,39,1007,7,2,1200.0,0.0,2400.0,1500.0,900.0,37.5,Venda Direta / B2B
10152,2024-05-27,62,1002,7,3,2200.0,0.0,6600.0,4350.0,2250.0,34.09,E-commerce
10153,2023-11-08,138,1016,1,11,280.0,0.15,2618.0,1650.0,968.0,36.97,Website
10154,2024-04-04,75,1005,7,1,850.0,0.05,807.5,520.0,287.5,35.6,Website
10155,2024-04-03,48,1014,2,9,280.0,0.0,2520.0,810.0,1710.0,67.86,Venda Direta / B2B
10156,2025-08-20,130,1018,1,7,95.0,0.0,665.0,315.0,350.0,52.63,Venda Direta / B2B
10157,2025-01-15,65,1012,1,6,150.0,0.05,855.0,240.0,615.0,71.93,Venda Direta / B2B
10158,2024-04-03,149,1004,6,1,220.0,0.05,209.0,110.0,99.0,47.37,Website
10159,2024-11-21,119,1006,8,3,650.0,0.0,1950.0,1170.0,780.0,40.0,Website
10160,2023-08-23,10,1015,5,4,32.0,0.0,128.0,72.0,56.0,43.75,Venda Direta / B2B
10161,2025-06-15,80,1011,7,14,12000.0,0.1,151200.0,56000.0,95200.0,62.96,Website
10162,2024-04-15,74,1007,6,1,1200.0,0.05,1140.0,750.0,390.0,34.21,E-commerce
10163,2023-11-26,112,1012,7,3,150.0,0.1,405.0,120.0,285.0,70.37,E-commerce
10164,2024-06-28,128,1006,8,6,650.0,0.05,3705.0,2340.0,1365.0,36.84,Website
10165,2025-04-18,21,1014,7,10,280.0,0.15,2380.0,900.0,1480.0,62.18,Venda Direta / B2B
10166,2024-05-21,21,1004,6,11,220.0,0.05,2299.0,1210.0,1089.0,47.37,Venda Direta / B2B
10167,2024-09-15,43,1014,8,2,280.0,0.0,560.0,180.0,380.0,67.86,E-commerce
10168,2025-03-07,112,1012,5,3,150.0,0.0,450.0,120.0,330.0,73.33,Website
10169,2025-02-04,94,1013,3,1,300.0,0.15,255.0,80.0,175.0,68.63,Venda Direta / B2B
10170,2025-02-08,9,1015,3,2,32.0,0.05,60.8,36.0,24.8,40.79,Venda Direta / B2B
10171,2024-07-16,40,1002,8,6,2200.0,0.1,11880.0,8700.0,3180.0,26.77,Venda Direta / B2B
10172,2025-03-27,136,1005,6,7,850.0,0.05,5652.5,3640.0,2012.5,35.6,Venda Direta / B2B
10173,2024-04-11,7,1004,3,8,220.0,0.1,1584.0,880.0,704.0,44.44,Website
10174,2025-07-09,68,1004,5,3,220.0,0.0,660.0,330.0,330.0,50.0,E-commerce
10175,2025-11-12,126,1010,4,2,420.0,0.0,840.0,480.0,360.0,42.86,Venda Direta / B2B
10176,2024-09-20,23,1015,6,11,32.0,0.0,352.0,198.0,154.0,43.75,Venda Direta / B2B
10177,2024-11-23,77,1010,3,12,420.0,0.0,5040.0,2880.0,2160.0,42.86,Website
10178,2025-04-13,58,1017,2,4,45.0,0.0,180.0,60.0,120.0,66.67,Venda Direta / B2B
10179,2025-04-11,93,1001,6,8,4500.0,0.0,36000.0,24800.0,11200.0,31.11,Website
10180,2024-12-31,17,1003,5,7,350.0,0.1,2205.0,1260.0,945.0,42.86,Website
10181,2024-11-08,148,1014,2,3,280.0,0.0,840.0,270.0,570.0,67.86,Venda Direta / B2B
10182,2024-09-18,89,1017,3,15,45.0,0.15,573.75,225.0,348.75,60.78,Website
10183,2024-02-03,111,1005,1,1,850.0,0.05,807.5,520.0,287.5,35.6,Website
10184,2024-01-15,58,1011,6,9,12000.0,0.0,108000.0,36000.0,72000.0,66.67,Venda Direta / B2B
10185,2024-04-12,71,1018,3,11,95.0,0.15,888.25,495.0,393.25,44.27,Venda Direta / B2B
10186,2024-11-13,44,1017,3,1,45.0,0.15,38.25,15.0,23.25,60.78,E-commerce
10187,2023-07-09,21,1001,1,11,4500.0,0.05,47025.0,34100.0,12925.0,27.49,Website
10188,2025-01-24,8,1014,8,3,280.0,0.05,798.0,270.0,528.0,66.17,E-commerce
10189,2024-10-11,77,1013,8,2,300.0,0.0,600.0,160.0,440.0,73.33,Website
10190,2024-01-07,124,1014,8,4,280.0,0.15,952.0,360.0,592.0,62.18,Venda Direta / B2B
10191,2023-12-21,89,1011,7,3,12000.0,0.15,30600.0,12000.0,18600.0,60.78,Venda Direta / B2B
10192,2024-12-01,62,1011,8,1,12000.0,0.1,10800.0,4000.0,6800.0,62.96,E-commerce
10193,2024-04-10,13,1004,5,2,220.0,0.0,440.0,220.0,220.0,50.0,E-commerce
10194,2025-09-01,84,1006,6,4,650.0,0.1,2340.0,1560.0,780.0,33.33,Venda Direta / B2B
10195,2025-11-10,128,1015,5,8,32.0,0.0,256.0,144.0,112.0,43.75,Venda Direta / B2B
10196,2025-08-10,118,1017,4,4,45.0,0.05,171.0,60.0,111.0,64.91,Website
10197,2023-07-26,127,1010,8,2,420.0,0.0,840.0,480.0,360.0,42.86,Website
10198,2024-09-05,94,1009,7,6,550.0,0.1,2970.0,1920.0,1050.0,35.35,Venda Direta / B2B
10199,2023-07-31,50,1018,6,9,95.0,0.0,855.0,405.0,450.0,52.63,Venda Direta / B2B
10200,2024-08-03,141,1015,5,14,32.0,0.15,380.8,252.0,128.8,33.82,Website
10201,2023-11-19,101,1004,6,13,220.0,0.15,2431.0,1430.0,1001.0,41.18,Venda Direta / B2B
10202,2025-08-03,51,1005,7,9,850.0,0.0,7650.0,4680.0,2970.0,38.82,Venda Direta / B2B
10203,2023-07-04,122,1011,8,3,12000.0,0.15,30600.0,12000.0,18600.0,60.78,Website
10204,2023-12-16,42,1011,7,3,12000.0,0.15,30600.0,12000.0,18600.0,60.78,E-commerce
10205,2024-06-25,137,1017,8,12,45.0,0.05,513.0,180.0,333.0,64.91,Website
10206,2024-10-05,95,1001,6,11,4500.0,0.1,44550.0,34100.0,10450.0,23.46,Venda Direta / B2B
10207,2024-12-14,122,1001,5,11,4500.0,0.15,42075.0,34100.0,7975.0,18.95,Website
10208,2024-03-21,150,1002,8,1,2200.0,0.0,2200.0,1450.0,750.0,34.09,E-commerce
10209,2025-05-01,9,1008,2,4,2800.0,0.1,10080.0,7200.0,2880.0,28.57,Venda Direta / B2B
10210,2024-06-07,106,1005,4,2,850.0,0.0,1700.0,1040.0,660.0,38.82,E-commerce
10211,2025-02-24,54,1017,6,11,45.0,0.15,420.75,165.0,255.75,60.78,Venda Direta / B2B
10212,2024-07-27,118,1006,6,9,650.0,0.05,5557.5,3510.0,2047.5,36.84,Venda Direta / B2B
10213,2024-12-30,64,1007,5,9,1200.0,0.0,10800.0,6750.0,4050.0,37.5,Venda Direta / B2B
10214,2025-08-06,74,1010,4,3,420.0,0.05,1197.0,720.0,477.0,39.85,E-commerce
10215,2024-10-09,71,1018,5,2,95.0,0.15,161.5,90.0,71.5,44.27,Website
10216,2024-07-29,89,1013,3,5,300.0,0.05,1425.0,400.0,1025.0,71.93,Venda Direta / B2B
10217,2025-08-22,89,1003,8,11,350.0,0.1,3465.0,1980.0,1485.0,42.86,Venda Direta / B2B
10218,2024-03-08,70,1018,5,1,95.0,0.15,80.75,45.0,35.75,44.27,Website
10219,2025-03-15,63,1008,1,11,2800.0,0.0,30800.0,19800.0,11000.0,35.71,Website
10220,2025-01-16,26,1002,7,2,2200.0,0.0,4400.0,2900.0,1500.0,34.09,E-commerce
10221,2025-02-10,2,1005,3,7,850.0,0.1,5355.0,3640.0,1715.0,32.03,Website
10222,2024-10-07,74,1007,6,2,1200.0,0.0,2400.0,1500.0,900.0,37.5,Website
10223,2025-01-24,137,1008,1,15,2800.0,0.1,37800.0,27000.0,10800.0,28.57,Venda Direta / B2B
10224,2025-06-12,10,1006,7,13,650.0,0.0,8450.0,5070.0,3380.0,40.0,Venda Direta / B2B
10225,2025-08-01,10,1010,1,5,420.0,0.15,1785.0,1200.0,585.0,32.77,Website
10226,2023-11-03,73,1011,8,3,12000.0,0.0,36000.0,12000.0,24000.0,66.67,E-commerce
10227,2025-05-20,70,1015,4,1,32.0,0.0,32.0,18.0,14.0,43.75,E-commerce
10228,2025-03-09,48,1009,1,12,550.0,0.05,6270.0,3840.0,2430.0,38.76,Venda Direta / B2B
10229,2024-12-05,45,1007,7,2,1200.0,0.0,2400.0,1500.0,900.0,37.5,E-commerce
10230,2024-08-14,48,1004,3,8,220.0,0.0,1760.0,880.0,880.0,50.0,Venda Direta / B2B
10231,2023-03-19,61,1013,8,13,300.0,0.05,3705.0,1040.0,2665.0,71.93,Venda Direta / B2B
10232,2024-05-28,67,1001,6,12,4500.0,0.0,54000.0,37200.0,16800.0,31.11,Venda Direta / B2B
10233,2025-02-02,79,1015,3,2,32.0,0.0,64.0,36.0,28.0,43.75,E-commerce
10234,2025-01-16,95,1010,4,4,420.0,0.1,1512.0,960.0,552.0,36.51,Venda Direta / B2B
10235,2024-01-01,107,1012,8,13,150.0,0.0,1950.0,520.0,1430.0,73.33,Website
10236,2025-03-26,135,1003,8,9,350.0,0.05,2992.5,1620.0,1372.5,45.86,Website
10237,2023-09-19,16,1004,4,10,220.0,0.0,2200.0,1100.0,1100.0,50.0,Website
10238,2024-01-15,114,1017,2,11,45.0,0.15,420.75,165.0,255.75,60.78,Venda Direta / B2B
10239,2024-10-15,115,1017,1,8,45.0,0.15,306.0,120.0,186.0,60.78,Venda Direta / B2B
10240,2024-08-25,144,1002,8,11,2200.0,0.0,24200.0,15950.0,8250.0,34.09,Venda Direta / B2B
10241,2024-08-10,56,1001,2,1,4500.0,0.05,4275.0,3100.0,1175.0,27.49,Venda Direta / B2B
10242,2025-02-21,16,1018,2,15,95.0,0.0,1425.0,675.0,750.0,52.63,Venda Direta / B2B
10243,2024-05-15,35,1006,7,6,650.0,0.1,3510.0,2340.0,1170.0,33.33,Venda Direta / B2B
10244,2025-06-03,97,1013,2,3,300.0,0.05,855.0,240.0,615.0,71.93,Website
10245,2023-11-18,101,1018,3,12,95.0,0.0,1140.0,540.0,600.0,52.63,Venda Direta / B2B
10246,2025-03-23,119,1010,7,3,420.0,0.0,1260.0,720.0,540.0,42.86,E-commerce
10247,2024-04-09,40,1012,5,4,150.0,0.0,600.0,160.0,440.0,73.33,Website
10248,2023-06-17,5,1014,4,4,280.0,0.0,1120.0,360.0,760.0,67.86,Venda Direta / B2B
10249,2024-12-21,13,1015,4,3,32.0,0.1,86.4,54.0,32.4,37.5,Website
10250,2024-09-11,56,1018,1,3,95.0,0.05,270.75,135.0,135.75,50.14,Website
10251,2024-03-28,148,1011,6,4,12000.0,0.0,48000.0,16000.0,32000.0,66.67,Venda Direta / B2B
10252,2025-10-11,57,1017,7,2,45.0,0.0,90.0,30.0,60.0,66.67,E-commerce
10253,2024-11-28,110,1006,8,1,650.0,0.1,585.0,390.0,195.0,33.33,Venda Direta / B2B
10254,2025-04-09,107,1011,7,3,12000.0,0.1,32400.0,12000.0,20400.0,62.96,Venda Direta / B2B
10255,2024-02-05,122,1018,4,14,95.0,0.05,1263.5,630.0,633.5,50.14,Venda Direta / B2B
10256,2025-05-25,119,1005,1,3,850.0,0.1,2295.0,1560.0,735.0,32.03,E-commerce
10257,2024-11-28,100,1005,4,2,850.0,0.05,1615.0,1040.0,575.0,35.6,Website
10258,2025-01-21,95,1015,2,9,32.0,0.0,288.0,162.0,126.0,43.75,Website
10259,2023-08-01,11,1013,2,1,300.0,0.1,270.0,80.0,190.0,70.37,Website
10260,2024-03-03,78,1011,1,4,12000.0,0.0,48000.0,16000.0,32000.0,66.67,Venda Direta / B2B
10261,2025-03-18,63,1016,4,7,280.0,0.15,1666.0,1050.0,616.0,36.97,Venda Direta / B2B
10262,2024-06-13,98,1010,8,9,420.0,0.05,3591.0,2160.0,1431.0,39.85,Website
10263,2024-06-02,132,1012,8,2,150.0,0.1,270.0,80.0,190.0,70.37,Website
10264,2025-03-26,53,1011,6,6,12000.0,0.0,72000.0,24000.0,48000.0,66.67,Venda Direta / B2B
10265,2024-12-01,38,1008,1,5,2800.0,0.15,11900.0,9000.0,2900.0,24.37,Website
10266,2024-12-12,76,1014,3,4,280.0,0.0,1120.0,360.0,760.0,67.86,Venda Direta / B2B
